Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
Modeling of Time-Series Merger Activity with a State-Space and Markov Switching Approach,2007,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/modeling-of-time-series-merger-activity-with-a-state-space-and-ma,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
One Size Does Not Fit All: Small Companies and ASX Corporate Governance Compliance,2007,Contribution to journal,Corporate Ownership & Control,https://research-repository.uwa.edu.au/en/publications/one-size-does-not-fit-all-small-companies-and-asx-corporate-gover,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
The Reach of the Disposition Effect: Large Sample Evidence Across Investor Classes,2007,Contribution to journal,International Review of Finance,https://research-repository.uwa.edu.au/en/publications/the-reach-of-the-disposition-effect-large-sample-evidence-across-,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Market misvaluation driven acquisitions: Contrary Australian evidence,2006,Contribution to journal,Company and Securities Law Journal,https://research-repository.uwa.edu.au/en/publications/market-misvaluation-driven-acquisitions-contrary-australian-evide,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Portfolio Choice 101,2006,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/portfolio-choice-101,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Raising the takeover threshold in Australia: issues and evidence,2006,Contribution to journal,JASSA,https://research-repository.uwa.edu.au/en/publications/raising-the-takeover-threshold-in-australia-issues-and-evidence,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
UK managed funds' trading around M&A announcements,2006,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/uk-managed-funds-trading-around-mampa-announcements,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Do Informed Traders Win? An Analysis of Changes in Corporate Ownership around Substantial Shareholder Notices,2005,Contribution to journal,International Review of Finance,https://research-repository.uwa.edu.au/en/publications/do-informed-traders-win-an-analysis-of-changes-in-corporate-owner,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Evidence contrary to the disposition effect amongst UK managed funds,2005,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/evidence-contrary-to-the-disposition-effect-amongst-uk-managed-fu,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Expert Reports in Australian Takeovers: Fees and Quality,2005,Contribution to journal,Abacus,https://research-repository.uwa.edu.au/en/publications/expert-reports-in-australian-takeovers-fees-and-quality,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
