Journal Name,ISSN,ISSN Online,Start year,www,ABDC FoR code,ABDC Ranking
American Law and Economics Review,1465-7252,1465-7260,1999.0,http://aler.oxfordjournals.org/,1402,B
American Mathematical Monthly,0002-9890,1930-0972,1894.0,http://www.jstor.org/,1403,B
American Political Science Review,0003-0554,1537-5943,1906.0,http://www.proquest.co.uk/en-UK/,1499,A*
American Psychologist,0003-066X,1935-990X,1946.0,http://csaweb114v.csa.com/,1503,A*
American Review of Political Economy,1551-1383,,2002.0,http://www.arpejournal.com/,1499,C
American Review of Public Administration,0275-0740,1552-3357,1967.0,http://arp.sagepub.com/,1503,B
American Sociological Review,0003-1224,1939-8271,1936.0,http://www.proquest.co.uk/en-UK/,1503,A*
American Statistician,0003-1305,1537-2731,1947.0,http://www.proquest.co.uk/en-UK/,1403,B
Analisis: cuadernos de investigacion,0252-8851,,1977.0,,1402,C
Anatolia: an international journal of tourism and hospitality research,1303-2917,,1990.0,http://www.ebscohost.com/,1506,C
Annals of Actuarial Science,1748-4995,1748-5002,2006.0,http://www.actuaries.org.uk/knowledge/annals_baj,1502,A
Annals of Applied Probability,1050-5164,,1991.0,http://projecteuclid.org/,1403,A*
Annals of Applied Statistics,1932-6157,1941-7330,2007.0,http://www.imstat.org/aoas/,1403,A
Annals of Economics and Finance,1529-7373,,2000.0,http://www.aeconf.net/index.htm,1502,C
Annals of Finance,1614-2446,1614-2454,2005.0,http://www.springer.com/,1502,B
Annals of Leisure Research,1174-5398,,1998.0,http://www.ebscohost.com/,1506,B
Annals of Operations Research,0254-5330,1572-9338,1984.0,http://springerlink.metapress.com/,1503,A
Annals of Probability,0091-1798,,1973.0,http://projecteuclid.org/,1403,A*
Annals of Public and Cooperative Economics,1370-4788,1467-8292,1908.0,http://www.wiley.com/,1402,B
Annals of Statistics,0090-5364,,1973.0,http://projecteuclid.org/,1403,A*
Annals of the American Academy of Political and Social Science,0002-7162,1552-3349,1891.0,http://ann.sagepub.com/,1402,B
Annals of the Institute of Statistical Mathematics,0020-3157,1572-9052,1949.0,http://www.springerlink.com/,1403,A
Annals of Tourism Research,0160-7383,1873-7722,1973.0,http://www.sciencedirect.com/,1506,A*
Annual Editions: Economics,1092-776X,,1971.0,http://www.mhhe.com/cls/,1402,C
Annual Review of Banking and Financial Law,1544-4627,,1982.0,http://heinonline.org/,180105,C
Annual Review of Psychology,0066-4308,1545-2085,1950.0,http://arjournals.annualreviews.org/,1503,A*
Annual Review of Sociology,0360-0572,1545-2115,1975.0,http://arjournals.annualreviews.org/,1503,A*
Anti Trust Law Journal,0003-6056,,1952.0,http://www.heinonline.org/,180105,A
Antitrust Law Bulletin,0003-603X,1930-7969,1955.0,http://heinonline.org/,180105,B
Applicationes Mathematicae,1233-7234,1730-6280,1954.0,http://journals.impan.gov.pl/am/,1403,C
Applied Cognitive Psychology,0888-4080,1099-0720,1987.0,http://www3.interscience.wiley.com/,1503,B
Applied Econometrics and International Development,1578-4487,,2001.0,http://www.usc.es/,1403,C
Applied Economics,0003-6846,1466-4283,1969.0,http://www.tandf.co.uk/,1402,A
Applied Economics Letters,1350-4851,1466-4291,1994.0,http://www.informaworld.com/,1402,B
Applied Economics Quarterly,1611-6607,1865-5122,1954.0,http://aeq.diw.de/aeq/,1402,B
Applied Financial  Economics,0960-3107,1466-4305,1991.0,http://www.informaworld.com/,1402,C
Applied Financial Economics Letters,1744-6546,1744-6554,2005.0,http://www.informaworld.com/,1502,C
Applied Health Economics and Health Policy,1175-5652,1179-1896,2002.0,http://adisonline.com/,1402,C
Applied Mathematical Finance,1350-486X,1466-4313,1994.0,http://www.informaworld.com/,1502,B
Applied Ontology,1570-5838,1875-8533,2005.0,http://www.swetswise.com/,806,C
Applied Psychological Measurement,0146-6216,1552-3497,1976.0,http://apm.sagepub.com/,1503,B
Applied Psychology: An International Review,0269-994X,1464-0597,1951.0,http://www.wiley.com/,1503,A
Applied Soft Computing,1568-4946,,2001.0,http://www.sciencedirect.com/,806,C
Applied Stochastic Models in Business and Industry,1524-1904,1526-4025,1985.0,http://www3.interscience.wiley.com/,1403,B
Appraisal Journal,0003-7087,,1932.0,http://www.ebscohost.com/,1504,B
Aquaculture Economics and Management,1365-7305,1551-8663,1997.0,http://www.tandf.co.uk/,1402,C
Arizona Law Review,0004-153X,,1959.0,http://www.heinonline.org/,180105,B
Arkansas Business and Economic Review,0004-1742,0004-1742,1933.0,http://www.proquest.co.uk/en-UK/,1402,C
Art Law and Accounting Reporter,0886-1013,,1982.0,,1501,C
Artha-Vikas: a journal of economic development,0004-3567,,1965.0,,1402,C
ASEAN Economic Bulletin,0217-4472,1793-2831,1984.0,http://muse.jhu.edu/,1402,B
ASEAN Journal on Hospitality and Tourism,1412-2073,,2002.0,http://www.frescoverde.com/,1505,C
Asia - Pacific Financial Markets ,1387-2834,1573-6946,1994.0,http://springerlink.metapress.com/,1502,C
Asia Europe Journal: intercultural studies in the social sciences and humanities,1610-2932,1612-1031,2003.0,http://www.springerlink.com/,1402,B
Asia Pacific Business Review,1360-2381,1743-792X,1994.0,http://www.tandf.co.uk/,1503,B
Asia Pacific Development Journal,1020-1246,,1956.0,,1499,B
Asia Pacific Economic Papers,1834-8971,,1973.0,http://www.crawford.anu.edu.au/,1402,C
Asia Pacific Journal of Economics and Business,1326-8481,,1997.0,http://www.business.curtin.edu.au/,1402,B
Asia Pacific Journal of Finance,0219-1466,,1998.0,,1502,B
Asia Pacific Journal of Finance and Banking Research,1933-3390,1933-3455,2007.0,http://globip.com/asiapacificjournal.htm,1499,C
Asia Pacific Journal of Financial Studies,1226-1165,,1980.0,http://www.apjfs.org/,1502,C
Asia Pacific Journal of Marketing and Logistics,1355-5855,1758-4248,1989.0,http://www.emeraldinsight.com/,1505,B
Asia Pacific Journal of Taxation,1027-5592,,1997.0,,180125,C
Asia Pacific Journal of Tourism Research,1094-1665,1741-6507,1996.0,http://www.informaworld.com/,1506,B
Asia Pacific Law Review,1019-2557,1875-8444,1992.0,http://www.lexisnexis.com/hk/aplr/,180105,C
Asia Pacific Public Relations Journal,1440-4389,,1999.0,,1503,B
"Asia Pacific Viewpoint: specialises in the study of development, change and underdevelopment",1360-7456,1467-8373,1960.0,http://www3.interscience.wiley.com/,1499,C
Asian Academy of Management Journal,1394-2603,,1996.0,http://www.usm.my/aamj/,1503,C
Asian Academy of Management Journal of Accounting and Finance,1823-4992,1985-8299,,http://www.usm.my/,1501,C
Asian and Pacific Economic Review,1000-6052,,1987.0,,1402,C
Asian and Pacific Migration Review,0117-1968,,1992.0,http://www.smc.org.ph/apmj.htm,1499,C
Asian Business and Management,1472-4782,1476-9328,2002.0,http://www.palgrave-journals.com/,1503,C
Asian Case Research Journal,0218-9275,1793-6772,1997.0,http://www.worldscinet.com/acrj/,1503,C
Asian Development Review: Studies of Asian and Pacific Economic Issues,0116-1105,0116-1105,1983.0,http://www.adb.org/,1402,C
Asian Economic Journal,1351-3958,1467-8381,1987.0,http://www.wiley.com/,1402,B
Asian Economic Papers,1535-3516,1536-0083,2002.0,http://www.mitpressjournals.org/,1402,B
Asian Economies,0002-2942,,1960.0,http://www.ide.go.jp/,1402,C
Asian Journal of Information Technology,1682-3915,1993-5994,2002.0,http://www.medwelljournals.com/,806,C
Asian Journal of Marketing (Singapore),0218-6101,,1992.0,,1505,C
Asian Journal of Marketing (USA),1819-1924,,2006.0,http://scialert.net/,1505,C
Asian Journal of Political Science,0218-5377,1750-7812,1993.0,http://www.informaworld.com/,1499,B
Asian Journal of Social Science,0303-8246,1568-5314,1968.0,http://www.ingentaconnect.com/,1503,C
Asian Journal of Tourism and Hospitality Research,1908-8388,,2007.0,,1506,C
Asian Population Studies,1744-1730,1744-1749,2005.0,http://www.tandf.co.uk/,1499,C
Asian Review of Accounting,1321-7348,1758-8863,1992.0,http://www.emeraldinsight.com/,1501,C
Asian Social Science,1911-2017,1911-2025,2005.0,http://ccsenet.org/journal/index.php/ass/,1402,C
Asian Survey: a bimonthly review of contemporary Asian affairs,0004-4687,1533-838X,1932.0,http://www.swetswise.com/,1499,C
Asian-African Journal of Economics and Econometrics,0972-3986,,2001.0,http://www.scientificpub.com/,1403,C
Asian-Pacific Business Review,0973-2470,,2005.0,http://www.asiapacific.edu/,1499,C
Asian-Pacific Economic Literature,0818-9935,1467-8411,1985.0,http://www3.interscience.wiley.com/,1402,C
Asia-Pacific Financial Markets,1387-2834,1573-6946,1994.0,http://springerlink.metapress.com/,1502,C
Asia-Pacific Journal of Accounting and Economics,1608-1625,,1993.0,http://www.roae.org/,1501,B
Asia-Pacific Journal of Business Administration,1757-4323,1757-4331,2009.0,http://www.emeraldinsight.com/,1503,C
Asia-Pacific Journal of Human Resources,1038-4111,1744-7941,1962.0,http://www.ahri.com.au/,1503,B
Asia-Pacific Journal of Management,0217-4561,1572-9958,1983.0,http://springerlink.metapress.com/,1503,B
Asia-Pacific Journal of Operational Research,0217-5959,0217-5959,1984.0,http://ejournals.worldscientific.com.sg/,1503,C
Asia-Pacific Journal of Risk and Insurance,1793-2157,,2005.0,http://www.bepress.com/apjri/,1502,B
Asia-Pacific Management Accounting Journal,1675-3194,,2006.0,http://www.ebscohost.com/,1501,C
Asia-Pacific Management Review,1029-3132,,1996.0,http://apmr.management.ncku.edu.tw/,1503,C
Asia-Pacific Population Journal,0259-238X,1564-4278,1986.0,http://www.unescap.org/esid/psis/population/journal/index.asp,1499,C
Asia-Pacific Tax Bulletin,1385-3082,,1983.0,http://www.ibfd.org/,180125,C
ASOR Bulletin,0812-860X,1446-6678,1981.0,http://www.asor.org.au/,1503,C
Asper Review of International Business and Trade Law,1496-9572,,2001.0,http://www.heinonline.org/,180105,C
Astin Bulletin: the journal of the International Actuarial Association,0515-0361,1783-1350,1958.0,http://www.casact.org/library/astin/,1503,B
ATA Journal of Legal Tax Research,1543-866X,,2003.0,http://www.aaapubs.org/jltr/,180125,C
Atlantic Economic Journal,0197-4254,1573-9678,1973.0,http://www.springerlink.com/,1402,C
Auckland University Law Review,0067-0510,,1967.0,http://www.heinonline.org/,180105,C
Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,1981.0,http://www.aaapubs.org/aud/,1501,A
Australasian Accounting Business and Finance Journal,1843-2000 ,1834-2019,2007.0,http://ro.uow.edu.au/aabfj/,1501,C
Australasian Agribusiness Review,1442-6951,,1993.0,http://www.agrifood.info/review/,1402,C
Australasian Dispute Resolution Journal,1441-7847,,1990.0,http://legalonline.thomson.com.au/jour/,1503,C
Australasian Journal of Business and Behavioural Sciences,1832-0422,,2005.0,http://www.usq.edu.au/,1501,C
Australasian Journal of Business and Social Inquiry,1447-7033,,2003.0,http://academicglobalpublications.com/,1503,C
Australasian Journal of Economics Education,1448-448X,1448-4498,2004.0,http://www.uq.edu.au/economics/AJEE/,1402,C
Australasian Journal of Environmental Management,1448-6563,,1994.0,http://search.informit.com.au/,1503,A
Australasian Journal of Information Systems,1449-8618,1326-2238,1993.0,http://dl.acs.org.au/index.php/ajis/index,806,B
Australasian Journal of Market and Social Research,,1837-7467,1968.0,http://www.mrsa.com.au/,1505,C
Australasian Journal of Natural Resources Law and Policy,1320-5323,,1994.0,http://search.informit.com.au/,180105,B
Australasian Journal of Regional Studies,1324-0935,,1987.0,http://www.anzrsai.org/page/publications/ajrs/,1499,B
Australasian Journal on Ageing,1440-6381,1741-6612,1966.0,http://www3.interscience.wiley.com/,1499,B
Australasian Marketing Journal,1441-3582,,1993.0,http://www.marketing.unsw.edu.au/,1505,B
Australia. National Institute of Economic  Industry Research. National Economic Review,0813-9474,,1984.0,http://search.informit.com.au/,1402,C
Australian  New Zealand Journal of Statistics,1369-1473,1467-842X,1998.0,http://www3.interscience.wiley.com/,1403,B
Australian Accounting Review,1035-6908,1835-2561,1991.0,http://www.cpaaustralia.com.au/,1501,B
Australian Actuarial Journal,1442-3065,,1997.0,,1502,C
Australian and New Zealand Journal of Criminology,0004-8658,,1968.0,http://www.swetswise.com/,180105,A
Australian Banking and Finance Law Bulletin,1035-2155,1447-137X,1985.0,,180105,C
Australian Bar Review,0814-8589,,1986.0,http://www.lexisnexis.com/,180105,A
Australian Bulletin of Labour,0311-6336,,1974.0,http://nils.flinders.edu.au/publications.php/abl/abl.php,1503,B
Australian Bureau of Agricultural and Resource Economics. Australian Commodities,1321-7844,,1948.0,http://search.informit.com.au/,1402,C
Australian Business Law Review,0310-1053,,1973.0,http://legalonline.thomson.com.au/,180105,A
"Australian Economic History Review: an Asia-Pacific journal of economic, business  social history",0004-8992,1467-8446,1956.0,http://www.wiley.com/,1402,A
Australian Economic Papers,0004-900X,1467-8454,1962.0,http://www.wiley.com/,1402,C
Australian Intellectual Property Journal,1038-1635,,1990.0,http://legalonline.thomson.com.au/,180105,C
Australian Journal of Accounting Education,1449-3772,,2004.0,,1501,C
Australian Journal of Asian Law,1443-0738,,2000.0,http://search.informit.com.au/,180105,C
Australian Journal of Career Development,1038-4162,,1992.0,http://search.informit.com.au/,1503,B
Australian Journal of Communication,0811-6202,,1976.0,http://search.informit.com.au/,1503,A
Australian Journal of Construction Economics and Building,1835-6354,,2001.0,http://www.aiqs.com.au/,1504,C
Australian Journal of Corporate Law,1037-4124,,1991.0,http://www.lexisnexis.com/,180105,A
Australian Journal of Environmental Education,0814-0626,,1984.0,http://www.aaee.org.au/publications/ajee.htm,1503,B
Australian Journal of Human Rights,1323-238X,,1994.0,http://www.austlii.edu.au/au/journals/AJHR/,1499,C
Australian Journal of International Affairs,1035-7718,1465-332X,1947.0,http://search.informit.com.au/,1499,A
Australian Journal of Labour Economics: a journal of labour economics and labour relations,1328-1143,,1989.0,http://www.business.curtin.edu.au/,1402,B
Australian Journal of Labour Law,1030-7222,,1988.0,http://www.lexisnexis.com/,180105,A
Australian Journal of Management,0312-8962,1327-2020,1976.0,http://www.sagepub.com/,1503,A
Australian Journal of Political Science,1036-1146,1363-030X,1956.0,http://www.informaworld.com/,1499,A
Australian Journal of Psychology,0004-9530,1742-9536,1949.0,http://www.informaworld.com/,1503,B
Australian Journal of Public Administration,0313-6647,1467-8500,1937.0,http://www3.interscience.wiley.com/,1499,A
Australian Journal of Social Issues,0157-6321,0004-9557,1961.0,http://search.informit.com.au/,1499,B
Australian Journal of Volunteering,1325-8362,1836-0246,1996.0,http://search.informit.com.au/,1506,B
Australian Law Journal,0004-9611,,1927.0,http://legalonline.thomson.com.au/jour/,180105,A
Australian Property Law Journal,1038-5959,,1993.0,http://www.lexisnexis.com/,180105,B
Australian Psychologist,0005-0067,1742-9544,1966.0,http://www.informaworld.com/,1503,B
Australian Review of Public Affairs,1832-1526,,2000.0,http://www.australianreview.net/,1499,C
Australian Senior Mathematics Journal,0819-4564,,1987.0,http://search.informit.com.au/,1403,C
Australian Social Monitor,1440-4842,,1998.0,http://search.informit.com.au/,1499,C
Australian Social Policy,1442-6331,,1973.0,http://search.informit.com.au/,1499,C
"Australian Tax Forum: a journal of taxation policy, law and reform",0812-695X,,1984.0,http://www.taxinstitute.com.au/,180125,A
Australian Tax Review,0311-094X,,1971.0,http://www.thomsonreuters.com.au/,180125,B
Automation in Construction,0926-5805,1872-7891,1992.0,http://www.sciencedirect.com/,1504,A
B F u P - Betriebswirtschaftliche Forschung und Praxis,0340-5370,,1949.0,,1402,C
Baltic Journal of Economics,1406-099X,,1997.0,http://www.biceps.org/bje,1402,C
Baltic Journal of Management,1746-5265,1746-5273,2006.0,http://www.emeraldinsight.com/,1503,C
Bangladesh Development Studies,0304-095X,,1973.0,,1503,C
Bank of Valletta Review,1017-7841,,1990.0,,1502,C
Bank Parikrama: A Journal of Banking and Finance,1019-7044,,,,1502,C
Banking and Finance Law Review,0832-8722,,1986.0,http://www.proquest.co.uk/en-UK/,180105,B
Banking Law Journal,0005-5506,,1989.0,http://www.heinonline.org/,180105,C
Banks and Bank Systems,1816-7403,,2006.0,,1502,C
Basic Income Studies: an international journal of basic income research,1932-0183,,2006.0,http://www.bepress.com/,1402,C
Behavioral Research in Accounting,1050-4753,1558-8009,1989.0,http://aaapubs.aip.org/bria/,1501,A
Benchmarking: An International Journal,1463-5771,1758-4094,1994.0,http://www.emeraldinsight.com/,1503,C
Berkeley Business Law Journal,1548-7067,,2004.0,http://www.heinonline.org/,180105,B
Berkeley Technology Law Journal,1086-3818,,1986.0,http://www.heinonline.org/,180105,A
Bernoulli: a journal of mathematical statistics and probability,1350-7265,,1995.0,http://projecteuclid.org/,1403,A
Bioinformatics,1367-4803,1367-4811,1985.0,http://bioinformatics.oxfordjournals.org/,1403,A*
Biometrical Journal: journal of mathematical methods in biosciences,0323-3847,1521-4036,1959.0,http://www3.interscience.wiley.com/,1403,B
Biometrics,0006-341X,1541-0420,1945.0,http://www3.interscience.wiley.com/,1403,A*
Biometrika,0006-3444,1464-3510,1901.0,http://biomet.oxfordjournals.org/,1403,A
Biostatistics,1465-4644,1468-4357,2000.0,http://biostatistics.oxfordjournals.org/,1403,A*
BMC Medical Informatics and Decision Making,1472-6947,,2001.0,http://www.biomedcentral.com/,806,B
Bond Law Review,1033-4505,,1989.0,http://epublications.bond.edu.au/blr/,180105,B
Boston University Law Review,0006-8047,,1921.0,http://www.heinonline.org/,180105,A*
Brazilian Electronic Journal of Economics,,1516-4373,1997.0,,1402,C
Brazilian Journal of Business Economics,1676-8000,,2001.0,,1402,C
Briefing Notes in Economics,0968-7017,0968-7017,1992.0,http://www.richmond.ac.uk/bne/index.htm,1401,C
Briefings in Entrepreneurial Finance,1943-2593,1943-2607,1992.0,,1503,C
